x1 y1 x2 y2 x3 y3 x4 y4 x5 y5 x6 y6 x7 y7 x8 y8 x9 y9 x10 y10
0 150013 14 24739488 10 335414 3 173954 16 485124 12 375462 7 244554 2 162965 9 310752 5 212189
20 29696800 34 67845420 30 40306862 23 24663967 36 31150263 32 1331446 26 893242 22 736399 28 992737 24 786760
40 49757048 54 92487995 50 86149327 44 82447843 56 104389008 52 75699986 47 4416408 42 1749212 49 2094732 45 1817596
61 66391120 75 110310277 72 125348080 65 131908290 76 151952113 74 129269551 69 72989810 63 17132414 71 43958493 67 26423543
81 70275304 93 112245658 89 129018129 84 173714669 94 176326493 91 175004682 86 103243411 83 131867919 88 120152247 85 96184893
98 72042227 113 115365157 109 130860559 102 176135827 115 180615920 111 179731552 106 163573923 100 274628783 108 241689569 104 191421513
120 79744485 133 120498103 129 137325907 123 182632597 135 183559782 131 185308195 126 171837608 122 389374430 128 286329558 124 280279188
139 79752515 152 120509179 150 137337045 143 182641131 154 183571280 151 185320065 146 171845806 141 389382460 148 286340534 145 280287278
159 79764091 171 120517683 168 137345387 162 182652459 172 183579392 169 185328095 165 171857266 161 389393916 167 286345916 163 280298890
177 79768585 189 120529403 186 137353501 181 182664653 190 183591190 187 185336437 183 171869118 179 389406092 185 286357996 182 280310782
195 79779963 206 120533683 204 137361571 199 182672683 208 183601080 205 185344321 202 171877092 197 389410612 203 286366488 200 280318854
213 79791617 226 120545253 223 137373273 216 182680971 227 183610446 224 185356155 220 171889028 215 389422348 222 286378308 218 280330670
